target,method,positives,base_rate,ap,ap_lift,enrich@0.10,enrich@0.25,enrich@0.50,prec@0.25,clusters@0.25,share@0.25,ap_lift_lo,ap_lift_hi,enrich@0.10_lo,enrich@0.10_hi,enrich@0.25_lo,enrich@0.25_hi,enrich@0.50_lo,enrich@0.50_hi,d_ap_lift,d_ap_lift_lo,d_ap_lift_hi,d_ap_lift_p,d_enrich@0.10,d_enrich@0.10_lo,d_enrich@0.10_hi,d_enrich@0.10_p,d_enrich@0.25,d_enrich@0.25_lo,d_enrich@0.25_hi,d_enrich@0.25_p,d_enrich@0.50,d_enrich@0.50_lo,d_enrich@0.50_hi,d_enrich@0.50_p,d_ap_lift_p_holm,period,attained,max_lift
L2:coinbase,frozen (transferred),749,0.00028980522770402964,0.006485036507997328,22.383111647815333,32.3558599360936,32.3558599360936,32.3558599360936,0.009374626887082727,1.0,0.019365097873158252,20.380693829667695,24.5842307196001,30.480250801360654,34.26476039605353,30.480250801360654,34.26476039605353,30.480250801360654,34.26476039605353,,,,,,,,,,,,,,,,,,test,0.006485036507997328,3450.5933792929136
L2:coinbase,constrained refit,749,0.00028980522770402964,0.004476085935442206,15.447235534761033,20.7999565432433,20.7999565432433,20.7999565432433,0.006027019163234129,1.0,0.030047818143598505,14.241779708205259,16.746170063047185,19.581274204000596,22.01369476318673,19.581274204000596,22.01369476318673,19.581274204000596,22.01369476318673,-6.9358761130543005,-7.844989609303587,-6.084372222696929,0.001998001998001998,-11.5559033928503,-12.332306477417568,-10.832526237885592,0.001998001998001998,-11.5559033928503,-12.332306477417568,-10.832526237885592,0.001998001998001998,-11.5559033928503,-12.332306477417568,-10.832526237885592,0.001998001998001998,0.021978021978021976,test,0.004476085935442206,3450.5933792929136
L2:P2PKH,frozen (transferred),89525,0.0346388333400625,0.8086656379898978,23.34565606660712,28.850883195523522,28.850883195523522,28.850883195523522,0.9993604563085202,1.0,0.018755529298285473,23.10179523479072,23.583488250561967,28.551381583414816,29.161498144080348,28.551381583414816,29.161498144080348,28.551381583414816,29.161498144080348,,,,,,,,,,,,,,,,,,test,0.8086656379898978,28.869332583537748
L2:P2PKH,constrained refit,89525,0.0346388333400625,0.7172156025386068,20.705533339269216,28.39378742026782,28.39378742026782,28.39378742026782,0.9835275206458785,1.0,0.01879190987458293,20.494427179553252,20.93206979463964,28.084917801482142,28.7231283065422,28.084917801482142,28.7231283065422,28.084917801482142,28.7231283065422,-2.6401227273379035,-2.7348980601797543,-2.5492979034132026,0.001998001998001998,-0.4570957752557021,-0.5486443062552038,-0.37491856900190385,0.001998001998001998,-0.4570957752557021,-0.5486443062552038,-0.37491856900190385,0.001998001998001998,-0.4570957752557021,-0.5486443062552038,-0.37491856900190385,0.001998001998001998,0.021978021978021976,test,0.7172156025386068,28.869332583537748
L2:P2SH,frozen (transferred),112449,0.04350862564592215,0.2360457038125601,5.42531968556861,9.52484206870022,8.309911778608395,4.763459821978967,0.3615163602964289,2.0,0.03405622478460767,5.358498475579498,5.494503259408652,9.395379107085626,9.662307530828091,7.9507765041329765,9.629781383092553,4.394466117945954,4.810071614331667,,,,,,,,,,,,,,,,,,test,0.2360457038125601,22.983948243690964
L2:P2SH,constrained refit,112449,0.04350862564592215,0.21089870750302608,4.847282503937942,7.494905419989943,6.210312215931252,4.729995865729709,0.27020216860497737,2.0,0.049209264223878245,4.791265639035697,4.898321101508009,7.3901045634384515,7.600487975172743,6.133850755288363,6.289287144633504,4.67742829980402,4.770645065197379,-0.578037181630668,-0.6324589931941196,-0.5246686830007005,0.001998001998001998,-2.029936648710277,-2.1525002491323484,-1.9128905951307944,0.001998001998001998,-2.0995995626771435,-3.3951221557087794,-1.7398303554180352,0.001998001998001998,-0.0334639562492578,-0.06922407126889343,0.31341875973934286,0.8071928071928072,0.021978021978021976,test,0.21089870750302608,22.983948243690964
L2:P2WPKH,frozen (transferred),1221160,0.47248690449713404,0.8342547396443363,1.7656643992389554,1.9575180782125585,1.9575180782125585,1.8828366764507485,0.9249030586526084,1.0,0.1557847595946603,1.7586622093208166,1.7730674064467715,1.947383008820244,1.968296895492353,1.947383008820244,1.968296895492353,1.873726162454649,1.8927077794183762,,,,,,,,,,,,,,,,,,test,0.8342547396443363,2.1164607748532123
L2:P2WPKH,constrained refit,1221160,0.47248690449713404,0.8887774308404555,1.8810629856655403,2.07170086660053,2.0354470259803588,1.9816526986399405,0.9617487582827946,1.5,0.16948678451768118,1.8730965468202028,1.8897804565324308,2.0601429919907397,2.0841364431012823,2.006257899252462,2.0773968675120256,1.954878753571224,1.9917720407581623,0.11539858642658496,0.11306718684471631,0.11811793851944512,0.001998001998001998,0.11418278838797136,0.11064962810356832,0.1180652141532225,0.001998001998001998,0.07792894776780024,0.04478957427265676,0.11571103507559292,0.001998001998001998,0.09881602218919205,0.06938625023804072,0.10179468198621575,0.001998001998001998,0.021978021978021976,test,0.8887774308404555,2.1164607748532123
L2:P2WSH,frozen (transferred),36881,0.014270074657317666,0.10376907917065564,7.272260666511544,9.372683892701428,7.997496721500544,7.997496721500544,0.11412302646855818,2.0,0.06825720408531094,7.156756613983634,7.3866076298931524,9.133388736881216,9.634560898762428,7.907199977656675,8.236941052750648,7.83166780242421,8.108731221752365,,,,,,,,,,,,,,,,,,test,0.10376907917065564,70.07671816819837
L2:P2WSH,constrained refit,36881,0.014270074657317666,0.10833295722804942,7.592071077742013,8.939580433773234,8.939580433773234,8.971913966871657,0.12755854673822942,1.0,0.031708115943045075,7.472335190622301,7.729207074992976,8.739608287203476,9.206610538859115,8.739608287203476,9.206610538859115,8.847739313738225,9.100829276983117,0.3198104112304687,0.2536989893521995,0.40065269958744415,0.001998001998001998,-0.43310345892819413,-0.6540013624208287,-0.141056847858283,0.011988011988011988,0.9420837122726899,0.6399601748819018,1.1520655098938977,0.001998001998001998,0.9744172453711135,0.9306848990734355,1.0947403663905082,0.001998001998001998,0.021978021978021976,test,0.10833295722804942,70.07671816819837
